IDfg,Season,Name,Age,wOBA_proj,wOBA_proj_lower,wOBA_proj_upper,wOBA_marcel,wOBA_actual_2024,Team,error
16535,2024,Danny Jansen,29,0.32674299233735304,0.27521272324457535,0.3773561869876862,0.31740461417288796,0.294,- - -,0.03274299233735306
16556,2024,Ozzie Albies,27,0.36557466245380743,0.31566869495124394,0.4153825525439587,0.3238811901103013,0.307,ATL,0.058574662453807436
16572,2024,Connor Joe,31,0.3359213478568427,0.2818099431309042,0.39009178253790056,0.3152212104749758,0.305,PIT,0.030921347856842696
16578,2024,Yandy Diaz,32,0.37618678311950315,0.3270233248178043,0.42526490534207223,0.3402651788114919,0.331,TBR,0.04518678311950314
16622,2024,Luis Urias,27,0.28836014493274764,0.23743774720003546,0.33915652453448797,0.3141148321920498,0.309,SEA,0.020639855067252355
16725,2024,Jose Trevino,31,0.2696483403273677,0.21462399079039843,0.32469760461966596,0.29315857738182444,0.284,NYY,0.0143516596726323
16930,2024,Jonah Heim,29,0.3487695388648862,0.2944221273025993,0.4020183640317201,0.3052543027252825,0.265,TEX,0.0837695388648862
16939,2024,Lane Thomas,28,0.3370052672311395,0.2828129092801221,0.39106963119275917,0.3142846928586821,0.309,- - -,0.028005267231139497
16997,2024,Gleyber Torres,27,0.34676431464236623,0.2950167178530833,0.3981463665775441,0.3191781169959128,0.313,NYY,0.03376431464236623
17022,2024,Edmundo Sosa,28,0.30265015425887926,0.2485481745500435,0.3557943591918366,0.30508466786292265,0.318,PHI,0.015349845741120749
17027,2024,Alex Verdugo,28,0.34109510701230294,0.2891204763658106,0.3914041554834903,0.3151057337049299,0.283,NYY,0.05809510701230297
17040,2024,Jose Herrera,27,0.27677725149766663,0.22235450195211312,0.3300814634529202,0.2947907432619861,0.271,ARI,0.005777251497666613
17128,2024,Ramon Laureano,29,0.3141783899780024,0.26335889906565124,0.3649629131589133,0.3040231310786423,0.324,- - -,0.009821610021997607
17273,2024,Jorge Mateo,29,0.3023402892091573,0.2472039954297294,0.35687684941015196,0.2924338885820396,0.286,BAL,0.01634028920915731
17338,2024,Willi Castro,27,0.3172614675196414,0.26242663888706286,0.37094560452374664,0.3016430803137017,0.317,MIN,2.614675196414007e-4
17350,2024,Rafael Devers,27,0.39856239712732155,0.3484147305610739,0.44774427344960577,0.33962998735308525,0.364,BOS,0.034562397127321565
17452,2024,Jose Siri,28,0.3212363200433288,0.26677911712676244,0.3739902607031859,0.3022151715982027,0.271,TBR,0.050236320043328786
17484,2024,Eloy Jimenez,27,0.3434069816191152,0.2883460307514156,0.39671039314618056,0.3177187997234677,0.276,- - -,0.06740698161911518
17548,2024,Taylor Ward,30,0.3419686894039527,0.28723781050183395,0.3956414588433539,0.32219525495047097,0.325,LAA,0.016968689403952686
17678,2024,Alex Bregman,30,0.37556518809154665,0.32673252751280846,0.42392354728018833,0.32965465132003097,0.331,HOU,0.04456518809154664
17696,2024,Kevin Newman,30,0.3239462957803773,0.2725149962058167,0.3748609985365006,0.29362162537861786,0.298,ARI,0.025946295780377326
17766,2024,D.J. Stewart,30,0.34699956212349164,0.29275232323542155,0.4004404361433049,0.3126890151040598,0.29,NYM,0.056999562123491665
17838,2024,Willie Calhoun,29,0.3140845632015992,0.2626287059784652,0.36508726694369054,0.3023226197905385,0.305,LAA,0.009084563201599227
17893,2024,Tyler Nevin,27,0.31778835316066484,0.2631256974453292,0.37141550360281783,0.29863926841767163,0.276,OAK,0.041788353160664815
17901,2024,Andrew Benintendi,29,0.3134664749517476,0.26483213433602504,0.361907340694184,0.3120778832338791,0.298,CHW,0.015466474951747633
17907,2024,Brendan Rodgers,27,0.322182099333692,0.2687281246335073,0.37612867550372586,0.3127802560242,0.314,COL,0.008182099333692017
17919,2024,Ian Happ,29,0.34481119054561366,0.29421725352123407,0.3947642488880347,0.3237497121166235,0.341,CHC,0.0038111905456136297
17929,2024,Cedric Mullins,29,0.31149040288563895,0.2595636084641488,0.3625492829150248,0.3184274245713825,0.31,BAL,0.0014904028856389528
17954,2024,Sam Hilliard,30,0.3162932242872533,0.2619621486831715,0.3713708333847979,0.3002614338018017,0.342,COL,0.02570677571274671
17982,2024,Ty France,29,0.30394066443811346,0.24939924562833232,0.35850554726941297,0.3196231386917291,0.296,- - -,0.007940664438113476
17988,2024,Tyler Stephenson,27,0.32638272766464765,0.27190613736571095,0.3799509010089698,0.3136621923528059,0.339,CIN,0.01261727233535237
18015,2024,Paul DeJong,30,0.2878695944085048,0.23833404598542607,0.33664789073194407,0.28948004226513635,0.302,- - -,0.014130405591495199
18030,2024,Harrison Bader,30,0.29903846534073003,0.249151114022094,0.3479391115680371,0.2995182654041888,0.285,NYM,0.014038465340730055
18036,2024,Jake Cronenworth,30,0.28808954851494184,0.2332470552102036,0.34181610323871536,0.3118484616763927,0.315,SDP,0.026910451485058162
18042,2024,Dylan Moore,31,0.34222224606302865,0.28770811029298204,0.3958628141319677,0.3051161053966947,0.306,SEA,0.03622224606302865
18067,2024,Garrett Stubbs,31,0.2390484951644286,0.18496255452257168,0.2921558977257197,0.30323568390094197,0.258,PHI,0.018951504835571398
18126,2024,LaMonte Wade Jr.,30,0.3272279347668781,0.2730286683914359,0.380451059861996,0.31789718783058596,0.337,SFG,0.009772065233121907
18171,2024,Seth Brown,31,0.34314350700916507,0.2877226953517638,0.39705622081488817,0.30783118970570866,0.289,OAK,0.05414350700916509
18314,2024,Dansby Swanson,30,0.3281239481447021,0.27864547328735045,0.3768670802312541,0.31805851011706915,0.307,CHC,0.021123948144702087
18345,2024,Kyle Tucker,27,0.3727390806236916,0.3210375190624071,0.42453719343153784,0.3387470639159826,0.419,HOU,0.046260919376308385
18360,2024,Austin Riley,27,0.3793834819905323,0.3240780040625697,0.4327947988951019,0.3432333410585837,0.338,ATL,0.04138348199053227
18363,2024,Victor Robles,27,0.32352333408143136,0.2717168148551963,0.374136099266746,0.2948566620454707,0.357,- - -,0.03347666591856863
18373,2024,Ryan Mountcastle,27,0.33286105940681776,0.2777924144710404,0.3864360296548034,0.31633564706971695,0.316,BAL,0.016861059406817758
18400,2024,Juan Yepez,26,0.3043542986825399,0.24960540034885043,0.3577971924555512,0.30377798812615775,0.331,WSN,0.026645701317460135
18401,2024,Ronald Acuna Jr.,26,0.40470225000826837,0.35338583796829975,0.4552708828388258,0.35237485261476387,0.322,ATL,0.08270225000826836
18564,2024,Trent Grisham,27,0.30491362642789765,0.2493064565186889,0.35914477869454653,0.30101245851652747,0.295,NYY,0.00991362642789767
